Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_3.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_I.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_II.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_III.raw
SPO0129	"Peptidase, T4 family"				1.45343e+06	1.44992e+06	1.90314e+06	1.82564e+06	1.4797e+07	1.56571e+06	1.47813e+06	1.37633e+06	1.16594e+07	1.43562e+06	1.77143e+07	1.60939e+06		5.94492e+07	5.81811e+07
SPO0130	Cytochrome c family protein				3.28859e+07	2.73593e+07	3.45929e+07	3.33473e+07	7.79386e+08	2.76921e+07	2.73734e+07	2.6526e+07	9.56114e+08	2.94182e+07	1.202e+09	2.783e+07	4.49384e+09	3.74835e+09	3.50769e+09
SPO0131	Isopentenyl-diphosphate Delta-isomerase (IPP isomerase) (EC 5.3.3.2) (IPP:DMAPP isomerase) (Isopentenyl pyrophosphate isomerase)				2.15953e+06	3.85839e+06	2.5788e+06	2.53493e+06	2.58706e+06	3.5778e+06	2.9784e+06	3.11063e+06	2.22573e+06	3.05092e+06		3.17549e+06			
SPO0132	histidine kinase (EC 2.7.13.3)				145970	24625.9	97521.8	109808		23151.7	56970	28523.2				15038.1			
SPO0133	PAN domain protein				6.06815e+06	4.52207e+06	5.66299e+06	5.56153e+06	1.93386e+06	4.28459e+06	5.71837e+06	5.74647e+06		5.80961e+06		4.27556e+06	329465	378123	338831
SPO0134	Glycolipid-binding domain-containing protein				1.31653e+06	1.37907e+06	1.59769e+06	1.56477e+06		1.36488e+06	1.50998e+06	1.46234e+06		1.4603e+06		1.33221e+06			
SPO0135	Penicillin-binding protein 1C				305556	400161	258446	256485		370189	471729	468624		462070		388047			
SPO0136	Glutamine amidotransferase domain-containing protein				2.65787e+06	2.21743e+06	2.83984e+06	2.91419e+06		2.28439e+06	2.43276e+06	2.35297e+06		2.31176e+06		2.35961e+06	4.29845e+06		
SPO0137	N-terminal double-transmembrane domain protein				1.55451e+06	1.53384e+06	1.61854e+06	1.60349e+06		1.53792e+06	1.49258e+06	1.49124e+06		1.49582e+06		1.55419e+06	7.21401e+06		
SPO0138	DUF58 domain-containing protein				1.22627e+06	1.94509e+06	1.03842e+06	962977		2.00261e+06	1.60702e+06	1.64248e+06		1.63634e+06		1.99923e+06			
SPO0139	"ATPase, MoxR family"				5.18073e+06	8.26244e+06	4.94562e+06	4.77629e+06	3.54837e+06	8.32542e+06	7.99618e+06	7.90831e+06	3.71068e+06	7.98093e+06	4.05058e+06	8.41224e+06		239128	
SPO0140	Proteophosphoglycan				1.83449e+06	1.22114e+06	1.71894e+06	1.79104e+06		1.22367e+06	1.1461e+06	1.1631e+06		1.11242e+06	2.19029e+06	1.12338e+06			
SPO0141	"DNA binding protein, putative"				2.52973e+06	1.84161e+06	2.11929e+06	2.18317e+06		1.80152e+06	2.57102e+06	2.64866e+06		2.64106e+06		1.80404e+06			
SPO0142	Beta-ketothiolase				7.86951e+06	1.07518e+07	7.60201e+06	7.73782e+06	1.26297e+07	1.11916e+07	1.09547e+07	1.09159e+07	1.09058e+07	1.08445e+07	1.074e+07	1.02749e+07	1.03604e+06	8.29505e+06	3.86227e+06
SPO0143	Iron-sulfur cluster-binding protein					133392		56184.3		121083	116612	83422.5		86017.3		117711			
SPO0144	2-polyprenylphenol 6-hydroxylase (EC 1.14.13.-)				3.18504e+06	4.48713e+06	3.3744e+06	3.3593e+06		4.0164e+06	4.10878e+06	4.2994e+06		4.12844e+06		3.87792e+06		2.86103e+07	
SPO0145	"Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)"				4.23125e+06	4.62125e+06	4.47315e+06	4.57446e+06		4.59415e+06	4.92356e+06	5.04357e+06		5.16166e+06		4.22789e+06			1.47699e+06
SPO0146	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)				2.71223e+06	2.16398e+06	2.54182e+06	2.56142e+06		2.18901e+06	1.90411e+06	1.81457e+06		1.82868e+06		2.15249e+06			
SPO0147	Enoyl-CoA hydratase (EC 4.2.1.17)				3.64622e+07	3.86758e+07	3.63673e+07	3.63064e+07	3.22991e+07	4.02281e+07	3.06595e+07	3.23273e+07	3.38215e+07	3.06513e+07	3.28111e+07	3.9677e+07	671187	1.01192e+06	2.24339e+06
SPO0148	Small ribosomal subunit protein bS20 (30S ribosomal protein S20)				5.51928e+07	3.63883e+07	3.26001e+07	3.3854e+07	2.75507e+07	3.65493e+07	3.43592e+07	3.6066e+07	2.00636e+07	3.20589e+07	2.07974e+07	4.15178e+07	3.22492e+06	4.00398e+06	4.55419e+06
SPO0149	Chromosomal replication initiator protein DnaA				1.3612e+06	3.02611e+06	1.34833e+06	1.20168e+06	1.23418e+06	3.12853e+06	2.66655e+06	2.62997e+06		2.54505e+06		3.086e+06			
SPO0150	Beta sliding clamp				2.98499e+07	2.43295e+07	2.95188e+07	2.94098e+07	1.68556e+07	2.48172e+07	2.42112e+07	2.37604e+07	1.98076e+07	2.352e+07	1.93599e+07	2.57484e+07	256944	236932	435029
SPO0151	DNA replication and repair protein RecF				673722	615429	683704	703134		567290	624158	599370		595034		527480			
SPO0153	"Transcriptional regulator, TetR family"				86518.7	225697	271193	307816		216203	242545	245494		260194		223131			
SPO0154	"NAD(P)H dehydrogenase, quinone family"				1.64907e+06	3.00855e+06	1.31025e+06	1.35221e+06		3.10807e+06	3.74781e+06	3.88816e+06		3.62963e+06		3.02665e+06			
SPO0155	DNA gyrase subunit B (EC 5.6.2.2)				1.13467e+07	1.23865e+07	1.28274e+07	1.26425e+07	6.07988e+06	1.2583e+07	1.43989e+07	1.44979e+07	1.12889e+07	1.41757e+07	5.73625e+06	1.31342e+07	2.6769e+06	431073	661108
SPO0156	Transcriptional regulator RtcR				512897	542958	491129	498962		505927	554176	610345		574199		518638			
SPO0157	TROVE domain protein				415700	610728	290685	316785		612503	315905	298650		284723		592976	1.80689e+07		
SPO0160	3'-phosphate/5'-hydroxy nucleic acid ligase (EC 6.5.1.8)				481042	840877	495586	513058		737240	739553	732266		708897		793411	1.67232e+06		
SPO0161	"DNA-binding response regulator, LuxR family"				2.04943e+06	1.86147e+06	1.79102e+06	1.97034e+06	1.979e+06	2.03229e+06	2.05229e+06	2.06293e+06		2.06916e+06		1.92782e+06			
SPO0162	Oxidoreductase molybdopterin-binding domain-containing protein				5.06626e+06	1.34138e+06	6.65576e+06	6.98248e+06	6.05945e+06	1.41384e+06	1.24762e+06	1.24351e+06	5.7517e+06	1.45281e+06	7.7699e+06	1.45563e+06	1.71618e+08	2.03672e+08	2.08806e+08
SPO0163	Polar-differentiation response regulator DivK (EC 2.7.13.3)				995325	812471	1.34265e+06	1.28305e+06		732014	747939	712877		719487		778961			
SPO0164	"Oxidoreductase, FMN-binding/pyridine nucleotide-disulfide oxidoreductase"				1.10323e+06	1.17056e+06	1.10374e+06	1.03199e+06		1.09141e+06	1.05709e+06	1.13493e+06		1.12259e+06		1.04843e+06	708100	336028	461171
SPO0165	"Pyrroline-5-carboxylate reductase, putative"				88527.6	137399	102803	84004.9		145059	157412	139813		154024		143572			
SPO0166	"N-methylproline demethylase, putative"				1.81183e+06	1.85254e+06	1.69946e+06	1.7428e+06		1.85655e+06	1.67001e+06	1.72826e+06		1.7369e+06		1.90426e+06	2.67386e+06	1.2729e+06	243000
SPO0167	Methyltransferase (EC 2.1.1.-)				885049	1.19251e+06	941595	1.0162e+06		1.18746e+06	1.09807e+06	1.02874e+06		1.08142e+06		1.21848e+06			81030.8
SPO0168	"Transcriptional regulator, TetR family"				212570	312185	293605	303345		265813	285433	307312		276391		306486			
SPO0170	Flagellar biosynthesis protein FlhA				228240	38233.2	283488	184360		56914.3						48602.9			
SPO0174	Flagellar basal body-associated protein FliL				516561	45701.9	617512	820652		47650.3	45564.1	64328.4		39228		36981.4			
SPO0175	Flagellar L-ring protein (Basal body L-ring protein)				629192	76122.8	535346	640985		71592.4	108992	119366		89567.8		66980.6	109672	681545	
SPO0177	Flagellar basal-body rod protein FlgG (Distal rod protein)				183480	149534	210125	236990		167515	182122	132697		202453		135536			
SPO0178	Flagellar basal-body rod protein FlgF				93484.8	10219.1	113315	76829.1			50251.3					24688.9			
SPO0180	Flagellar hook-basal body complex protein FliE				26701.3			51201.9			39521.9								
SPO0181	Flagellar basal-body rod protein FlgC				1.32945e+06	2.31311e+06	1.38675e+06	999315		2.34774e+06	1.73122e+06	1.7821e+06		1.79763e+06		2.21177e+06	3.52879e+06	3.37042e+06	3.42374e+06
SPO0182	Flagellar basal-body rod protein FlgB				120978	5024.57	73238.8	78690.2		6634.53						8443.2			
SPO0183	"H+-transporting two-sector ATPase, flagellum-specific (EC 3.6.3.14)"				642115	212669	724162	726063		206171	253950	210182		213820		215979	791695	469178	
SPO0184	"Membrane protein, putative"				1.17332e+06	239612	1.02115e+06	951031		255922	135442	125598		134659		308476			
SPO0185	"Membrane protein, putative"				1.02634e+06	573656	1.02231e+06	1.04418e+06		474403	403788	342768		293327		488548			
SPO0186	Bordetella uptake gene family protein				4.10487e+06	1.93161e+06	7.26079e+06	7.24127e+06	1.03196e+07	1.70198e+06	2.2053e+06	1.99491e+06	1.11045e+07	1.98013e+06	3.09275e+07	2.17022e+06	3.71567e+07	4.38813e+07	4.00352e+07
SPO0187	DNA-binding response regulator				1.18343e+06	905639	1.08417e+06	1.13707e+06		820152	771185	702805		749656		739154			
SPO0188	histidine kinase (EC 2.7.13.3)				335518	310688	436363	403654		295162	319279	328868		338499		307011			
SPO0189	ABC transporter substrate-binding protein				715117	591104	1.02634e+06	1.0133e+06		518758	752827	684120		713942		522767			
SPO0190	"Oxidoreductase, GMC family"				2.36926e+06	706063	1.88757e+06	1.95157e+06		695088	1.25422e+06	1.16717e+06		1.23888e+06		642454	2.07939e+06	1.75319e+06	7.60429e+06
SPO0191	Chemotaxis protein MotB				280330	124279	190050	174438		148548	34819.1	130550		133610		92046.8			
SPO0192	Flagellar hook protein FlgE				442921	15826.1	390626	457255		21313						26862.8			
SPO0193	Flagellar hook-associated protein 1				224131	275927	223863	304955		205514	290961	155144		198794		244396			
SPO0194	Flagellar hook-associated protein FlgL family protein				213359	39351.6	167749	146421		50846.6	27553.7	13487.4		182941		42114.7			
SPO0195	Flagellar P-ring protein (Basal body P-ring protein)				97429.6	68072.3	151522	134259	1.77539e+07	241473	25301	47085.7	1.78712e+07	95158		54466.7			
SPO0197	Flagellar motor switch protein FliN				306843	30366.2	402563	491010		31955.4	35277.4	609120		95511.8		38437.4			
SPO0198	"ABC transporter, ATP-binding protein, flagellar, putative"				69862.8	17217.4	123722	131167		15409.6	13793.1	13536.3		6767.86					
SPO0199	Flagellar M-ring protein				652692	109055	510535	486477		29323.7	63581.3	103703		98433.8		137253	1.61469e+06		696192
SPO0200	Flagellar protein FliL				997318	38616.8	955112	1.00926e+06		69719.7	115366	71064.8		75470.3		54778.2			
SPO0201	DUF6468 domain-containing protein				261394		394537	436724				17124.2							
SPO0202	Magnesium transporter MgtE intracellular domain-containing protein				257782	262776	171201	221917		367762				153626					
SPO0203	Chemotaxis protein MotA				351081	93244.9	474274	461719			398990			228147		123834			
SPO0204	Lipoprotein				674243	119544	479130	507032		37467.2	50497.1			193056		297627	5.61796e+06	9.48693e+06	1.2345e+07
SPO0205	MmgE/PrpD family protein					263884	145529	430835		299334	211865	221099		29837.3		316128			
SPO0206	"Transcriptional regulator, LysR family"				1.50833e+06	1.4454e+06	1.30148e+06	1.26409e+06		1.43141e+06	1.01876e+06	1.03756e+06		942360		1.43509e+06			
SPO0207	Aminomethyl transferase family protein				429945	361433	448334	442477		357019	358674	347768		381670		374571			
SPO0209	Na/Pi-cotransporter family protein				1.06497e+06	876816	1.13152e+06	1.06369e+06		791991	817954	825472		751373		796949	3.48628e+06	3.70482e+06	3.1241e+06
SPO0210	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)				4.52913e+07	4.4308e+07	4.03079e+07	4.12517e+07	5.57094e+07	4.50837e+07	4.95845e+07	5.08472e+07	5.42142e+07	4.96472e+07	5.0796e+07	4.4888e+07	2.42742e+06	2.6986e+06	4.11823e+06
SPO0211	"Transcriptional regulator, LysR family"				224564	199562	153537	136060		206764	218938	160986		195642		174963			
SPO0212	Uncharacterized protein				1.05029e+06	316166	685647	709848		289732	710030	702582		712347		281712		1.32308e+06	
SPO0213	Endonuclease/exonuclease/phosphatase domain-containing protein				259155	320233	217340	251841		291124	348069	304548		347408		297589			
SPO0214	"Membrane protein, putative"				183128	371616	188637	166664		407498	487463	478761		502718		463943			
SPO0215	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)				1.59378e+07	1.68929e+07	1.42885e+07	1.5183e+07	1.06561e+07	1.94589e+07	1.93526e+07	1.89553e+07	1.0926e+07	1.93845e+07	1.21398e+07	2.11909e+07		140362	
SPO0216	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)				5.67465e+07	6.11012e+07	4.95696e+07	5.04702e+07	4.02907e+07	6.2375e+07	7.04252e+07	6.71355e+07	3.3264e+07	6.81243e+07	3.41728e+07	6.57796e+07	1.38226e+07	4.10169e+06	5.68898e+06
SPO0218	Mechanosensitive ion channel family protein				374309	511926	647202	660887		418385	452385	457373		417454		440727			
SPO0219	Ribosomal silencing factor RsfS				3.89021e+06	7.22961e+06	6.99008e+06	7.24669e+06	8.34255e+06	7.28098e+06	6.13063e+06	6.0192e+06	7.38445e+06	6.28868e+06	7.80973e+06	8.31161e+06	160601	363096	208574
SPO0220	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)				2.70476e+06	2.37469e+06	2.2475e+06	2.30181e+06		2.54434e+06	2.35019e+06	2.28444e+06		2.49874e+06		2.5447e+06			
SPO0221	NADPH-dependent FMN reductase-like domain-containing protein				1.04189e+06	1.02159e+06	1.09606e+06	1.11765e+06		1.1766e+06	1.18377e+06	1.03707e+06		1.11072e+06		1.21942e+06			
SPO0222	Alanine dehydrogenase (EC 1.4.1.1)				8.77362e+07	932577	6.69332e+07	6.98595e+07	3.20297e+07	972280	3.84188e+07	3.73942e+07	2.65001e+07	3.78826e+07	2.53908e+07	1.02796e+06		2.45247e+07	
SPO0223	"Transcriptional regulator, AsnC family"				970266	1.18423e+06	1.01048e+06	930020		1.16763e+06	901597	869821		832952		1.16428e+06			
SPO0224	NDP-polyphosphate phosphotransferase 1 (EC 2.7.4.-) (Polyphosphate kinase PPK2 1) (RpPPK2-1)				2.50089e+06	6.20181e+06	2.47019e+06	2.50628e+06	1.04273e+07	6.39712e+06	5.58257e+06	5.38631e+06	6.62857e+06	5.66134e+06	8.6682e+06	6.46604e+06			
SPO0225	"Transcriptional regulator, putative"				386687	694040	334967	354299		664982	482018	559999		510392		617488			
SPO0226	Cytochrome P450 family protein				663328	766860	605990	624439		759390	525134	548109		562399		780807			
SPO0227	"PaxA, putative"				1.19999e+06	1.39728e+07	1.65873e+06	1.40938e+06	6.90485e+09	1.21345e+07	4.35373e+06	3.86444e+06	7.30651e+09	4.73703e+06	9.05501e+09	1.11955e+07	1.22223e+10	1.22512e+10	1.25713e+10
SPO0229	Small ribosomal subunit protein bS21 (30S ribosomal protein S21)				7.87868e+07	5.94584e+07	2.09507e+07	1.83558e+07	4.02549e+07	7.00103e+07	4.39148e+07	5.1383e+07	3.67326e+07	5.12299e+07	4.019e+07	6.32411e+07	2.18311e+06		1.66939e+07
SPO0230	COQ9 C-terminal domain-containing protein				3.88364e+06	2.60167e+06	4.45639e+06	4.56338e+06		2.5612e+06	3.33881e+06	3.38775e+06		3.34441e+06	2.0788e+06	2.5961e+06	107195		
SPO0231	"Alcohol dehydrogenase, zinc-containing"				1.90436e+07	1.65009e+07	1.91146e+07	1.99914e+07	1.56657e+07	1.59633e+07	1.59553e+07	1.60734e+07	1.50324e+07	1.60811e+07	1.47729e+07	1.6233e+07	3.85551e+07	4.29533e+07	5.20874e+07
SPO0232	"Quinone oxidoreductase, putative"				5.82989e+06	6.51094e+06	5.01372e+06	5.08137e+06	6.42458e+06	7.06933e+06	5.96228e+06	5.74124e+06	7.02149e+06	5.72301e+06	8.70875e+06	6.72297e+06	4.12924e+07	4.18574e+07	4.56189e+07
SPO0233	"Transcriptional regulator, AsnC family"				923764	949381	953266	987906	605156	898748	946683	898804		958623		862801			
SPO0234	Lysine dehydrogenase				322642	401807	171094	221115	2.67647e+07	593178	8.42984e+07	8.83251e+07	2.12802e+07	8.64426e+07	2.35619e+07	161185			
SPO0235	aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3)				1.11746e+06	200052	960359	907093	8.80855e+06	205023	5.99586e+07	6.27665e+07	8.25219e+06	6.34098e+07	1.06737e+07	199115			1.25282e+07
SPO0236	"Glycerophosphoryl diester phosphodiesterase, putative"				852827	983763	846427	853012		892535	992925	980803		973066		883867		211934	
SPO0237	sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 7.6.2.10)				1.03735e+06	1.18862e+06	1.05475e+06	992766	5.88028e+06	1.07576e+06	1.43452e+06	1.28056e+06		1.50466e+06		1.16059e+06	1.19628e+06	506822	423503
SPO0238	sn-glycerol-3-phosphate transport system permease protein UgpE					220152	477004			227554	386268	471071		285646		237240			
SPO0239	sn-glycerol-3-phosphate transport system permease protein UgpA					450625	428110	325881		441097	548073	650342		616545		390886			
SPO0240	"SN-glycerol-3-phosphate ABC transporter, periplasmic SN-glycerol-3-phosphate-binding protein"				2.92086e+06	3.95658e+06	3.45785e+06	3.78016e+06	1.41533e+07	3.89916e+06	5.03387e+06	4.8764e+06	1.80276e+07	5.13684e+06	1.73427e+07	4.02682e+06	1.3321e+08	1.51012e+08	2.02856e+08
SPO0241	"Transcriptional regulator, LysR family"				500866	701766	489017	479361		692790	727662	715523		756843		727576			
SPO0247	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)				5.47616e+06	5.14851e+06	4.67142e+06	4.63643e+06	954261	5.07715e+06	5.64793e+06	5.57718e+06	3.26854e+06	5.73209e+06	2.49184e+06	5.01681e+06	5.14042e+06	6.05466e+06	
SPO0248	Farnesyl diphosphate synthase (EC 2.5.1.10)				3.81325e+06	4.08614e+06	3.24175e+06	3.30739e+06	2.83493e+06	4.44062e+06	4.28994e+06	4.15458e+06	1.70465e+06	4.29745e+06	2.79653e+06	3.99239e+06		103604	314800
SPO0249	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)				49367.2	93311.1		78776.6				147932		141572		185668			
SPO0250	Histone deacetylase family protein				1.93765e+06	1.76097e+06	2.22276e+06	2.48588e+06	1.19371e+08	1.68699e+06	1.70413e+06	1.58057e+06	7.57278e+06	1.61629e+06	4.52901e+07	1.61639e+06			
SPO0251	DNA-binding response regulator PetR				4.78478e+06	3.86562e+06	4.29708e+06	4.19058e+06	4.22001e+06	3.70328e+06	3.73213e+06	3.65879e+06	3.16699e+06	3.72728e+06	4.66136e+06	3.73548e+06			
SPO0252	Transcriptional regulator PetP				1.30266e+06	1.31759e+06	1.65647e+06	1.52073e+06		1.27965e+06	1.43666e+06	1.47039e+06		1.50428e+06		1.34882e+06	146984		
SPO0253	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)				9.46854e+06	1.04753e+07	9.69166e+06	9.81582e+06	1.13905e+07	1.02564e+07	1.15258e+07	1.0986e+07	1.3132e+07	1.08179e+07	1.09073e+07	1.00777e+07	5.07535e+07	3.18057e+07	5.13862e+07
SPO0254	Organic hydroperoxide resistance protein				1.7371e+07	1.39642e+07	1.8753e+07	2.08504e+07	9.32081e+06	1.59662e+07	3.20027e+07	3.15184e+07	9.43997e+06	3.54538e+07	9.31654e+06	1.47613e+07		288224	87230.9
SPO0255	"Transcriptional regulator, MarR family"				291529	399722	289080	305814		353429	464040	420090		435579		381606			
SPO0257	DUF4142 domain-containing protein						67307.3				224027	159188		220857		47412.6			
SPO0258	"Transcriptional regulator, AraC family"				995684	1.73499e+06	1.35286e+06	1.34934e+06		1.59095e+06	2.1094e+06	2.09461e+06		2.16961e+06		1.57281e+06	285205		2.33309e+06
SPO0260	"Alkaline phosphatase, putative"				1.06103e+06	316719	1.04032e+06	1.01895e+06		309391	573096	631193		587554		318352	2.98841e+06	3.01027e+06	5.28642e+06
SPO0261	"Membrane protein, putative"					195387	173601			193742	232285	252646		247760		223003			
SPO0262	"Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase)"				1.35172e+07	1.37303e+07	1.40154e+07	1.45849e+07	1.12625e+07	1.44282e+07	1.33748e+07	1.41099e+07	1.24728e+07	1.3309e+07	1.30663e+07	1.47401e+07	132281	180540	132095
SPO0264	CaiB/BaiF family protein				1.70815e+07	1.26322e+07	1.61855e+07	1.64414e+07	1.57181e+07	1.34533e+07	1.35029e+07	1.34667e+07	1.50306e+07	1.33094e+07	1.35283e+07	1.35546e+07	635000	642435	1.0006e+06
SPO0265	Auxin efflux carrier family protein				10583.7	59479.1	9186.75	28313		49522.4	58508.4	56109.5		51532.6		41450.2			
SPO0266	HD domain protein				995201	802133	925863	944307		840525	953035	902755		1.0011e+06		851104			
SPO0267	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)				7.31669e+06	5.4679e+06	5.50316e+06	5.7566e+06	6.51616e+06	5.54178e+06	6.24659e+06	6.40645e+06	2.77633e+06	6.41737e+06	4.18742e+06	5.53129e+06			
SPO0268	"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)"				1.5692e+06	2.12429e+06	3.14696e+06	2.91173e+06		1.89249e+06	1.07764e+06	996512		1.00732e+06		1.886e+06	1.50978e+07	1.63661e+07	1.77441e+07
SPO0269	Negative transcriptional regulator				1.06236e+06	766313	863976	929997		837039	943927	942146		991233		847011	379997	365412	370922
SPO0270	Glutathione S-transferase family protein				6.73378e+06	6.91532e+06	7.69624e+06	7.4426e+06	6.22532e+06	6.1708e+06	7.16672e+06	7.01051e+06	5.17106e+06	7.43857e+06	7.24978e+06	6.52263e+06	619065	1.4676e+06	725525
SPO0271	Ubiquinol-cytochrome c reductase iron-sulfur subunit (EC 7.1.1.8)				3.65843e+07	3.84855e+07	4.31101e+07	4.4965e+07	5.59931e+06	3.61836e+07	4.35735e+07	4.14485e+07	6.71357e+06	4.29243e+07	5.35065e+06	3.76669e+07	575113	674263	575685
SPO0272	Cytochrome b				7.7277e+06	8.65672e+06	6.10923e+06	5.95879e+06		8.99962e+06	9.61258e+06	1.0394e+07		9.08772e+06		8.1815e+06			
SPO0273	Cytochrome c1				1.46495e+07	1.44844e+07	1.89785e+07	1.74176e+07		1.43173e+07	1.40354e+07	1.47456e+07		1.5179e+07		1.44738e+07			225422
SPO0274	PepSY domain-containing protein					15156		57452				36817.3		29844.3					
SPO0276	"Transcriptional regulator, LuxR family"				612861	710948	886286	880482		638455	514444	555419		562668		692977			
SPO0277	MiaB-like tRNA modifying enzyme				1.42226e+06	1.48914e+06	1.27008e+06	1.29825e+06	580326	1.54998e+06	1.72379e+06	1.70253e+06		1.80396e+06		1.55796e+06			
SPO0278	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)				2.69138e+06	3.41368e+06	2.54878e+06	2.82073e+06		3.10576e+06	2.74401e+06	2.79451e+06		2.8331e+06		3.22525e+06			1.7696e+06
SPO0281	YHS domain protein				308071	85435.5	621186	710567		79459.5	101846	99234.6		76291		88708.7			
SPO0282	Peptide methionine sulfoxide reductase				430521	503071	387501	395520		461891	579867	550041		552253		478891			
